date,frgn_net,inst_net,indiv_net
2013-01-02,110873092000,-41310287000,-72246593000
2013-01-03,312118000,-44152852000,44159825000
2013-01-04,-64585207000,-15547719000,74826609000
2013-01-07,-69204866000,4307229000,65476628000
2013-01-08,-80441688000,-13608414000,104464607000
2013-01-09,-29615141000,-38156262000,65276213000
2013-01-10,50243903000,-6007185000,-43816318000
2013-01-11,57228060000,-68033844000,10132792000
2013-01-14,41026506000,13127229000,-52625815000
2013-01-15,-52920669000,-27400833000,77712197000
2013-01-16,-52032569000,-69658842000,120294750000
2013-01-17,-95004785000,-1855490000,104767701000
2013-01-18,30522715000,-46438007000,13127969000
2013-01-21,-86229659000,9161762000,75690516000
2013-01-22,-29412868000,63666788000,-36063410000
2013-01-23,45300767000,-50228626000,4364367000
2013-01-24,-110223638000,-4883458000,114053757000
2013-01-25,-149478300000,-18646202000,155801192000
2013-01-28,-320028866000,123413607000,187143895000
2013-01-29,-5574389000,57698389000,-53906243000
2013-01-30,108247829000,-24677338000,-75881470000
2013-01-31,58378894000,-7356413000,-49280436000
2013-02-01,24462716000,-14057474000,-13671454000
2013-02-04,33384881000,-55155033000,21314058000
2013-02-05,71355535000,-56026222000,-15652159000
2013-02-06,-25671861000,-1778181000,27667038000
2013-02-07,-983104000,-19167441000,20332064000
2013-02-08,73612386000,23448369000,-95122767000
2013-02-12,76585886000,-44978714000,-31006082000
2013-02-13,23826452000,38257224000,-61262895000
2013-02-14,4694135000,-3035986000,-17594451000
2013-02-15,41194641000,15634708000,-60137091000
2013-02-18,-18367680000,9632591000,3862742000
2013-02-19,9747343000,-4140606000,-6147552000
2013-02-20,141604984000,84397718000,-217290182000
2013-02-21,138232479000,-60912796000,-77104336000
2013-02-22,-96850222000,74849881000,21978222000
2013-02-25,44750930000,-22902936000,-21541986000
2013-02-26,1551012000,10091511000,-11576676000
2013-02-27,26678674000,-8642927000,-18448303000
2013-02-28,31955739000,66069437000,-93828942000
2013-03-04,94663744000,-88883463000,-6587614000
2013-03-05,90304018000,-35599550000,-51679118000
2013-03-06,5674815000,16043729000,-19649623000
2013-03-07,-71070053000,-91417221000,154968425000
2013-03-08,-142586019000,6644257000,128106578000
2013-03-11,-115386928000,108820215000,5204012000
2013-03-12,-21569549000,-29193577000,49927402000
2013-03-13,34235880000,-2093252000,-33527802000
2013-03-14,-58513469000,-18092414000,72951140000
2013-03-15,-442107070000,168541181000,266535800000
2013-03-18,-377413730000,142922492000,227615148000
2013-03-19,-49939062000,65833335000,-22124872000
2013-03-20,-151158790000,97432686000,51345165000
2013-03-21,-103851121000,49477986000,50461384000
2013-03-22,-139030508000,89854780000,46590332000
2013-03-25,-15468785000,68142817000,-55333119000
2013-03-26,-20609219000,89539693000,-72048899000
2013-03-27,-149219227000,136840729000,10756074000
2013-03-28,-53847592000,82453013000,-27203718000
2013-03-29,62327741000,73360104000,-133285410000
2013-04-01,-56758337000,53082938000,3484414000
2013-04-02,49477054000,4564254000,-53723288000
2013-04-03,-78718655000,81931895000,-6039034000
2013-04-04,-91862616000,100281144000,-8362518000
2013-04-05,-119445307000,113819415000,3466359000
2013-04-08,-23447822000,93287221000,-72021418000
2013-04-09,-4147266000,44433484000,-39855129000
2013-04-10,-5737422000,-17348371000,19245162000
2013-04-11,27449297000,49102356000,-72905308000
2013-04-12,-59755514000,52863480000,4317422000
2013-04-15,9813681000,18599127000,-24970529000
2013-04-16,-6087164000,25100681000,-18486548000
2013-04-17,-25967386000,11852573000,14294315000
2013-04-18,-141072828000,-2264422000,139187629000
2013-04-19,-107167175000,-8180897000,113574209000
2013-04-22,-9297779000,155399000,4939556000
2013-04-23,-70750471000,23128006000,30809010000
2013-04-24,-83257821000,38870365000,32694351000
2013-04-25,-83503487000,48253423000,29734254000
2013-04-26,-83412549000,39984101000,41093945000
2013-04-29,-51337813000,42932356000,6895310000
2013-04-30,55155165000,136293730000,-188684862000
2013-05-02,44616701000,12230025000,-56769801000
2013-05-03,52608738000,4801153000,-58870653000
2013-05-06,-5472940000,-6943214000,24857104000
2013-05-07,-83112287000,6343015000,76609282000
2013-05-08,-133830716000,-2397349000,131769968000
2013-05-09,70003521000,-4311764000,-65121373000
2013-05-10,-72581948000,-54053261000,124553900000
2013-05-13,-35532217000,2325363000,35340694000
2013-05-14,71470728000,653896000,-74420784000
2013-05-15,39496465000,-35666420000,-2708725000
2013-05-16,56865856000,47092835000,-94416920000
2013-05-20,-301639000,-11931912000,11196923000
2013-05-21,-15197196000,-20285655000,36266131000
2013-05-22,30364132000,27715331000,-50106209000
2013-05-23,-87320982000,15752169000,70562098000
2013-05-24,-64172324000,-7145652000,70850487000
2013-05-27,-6786260000,27615744000,-20895844000
2013-05-28,-46523012000,41226570000,5324268000
2013-05-29,95394990000,41353332000,-133450613000
2013-05-30,199596204000,88021795000,-286532422000
2013-05-31,74234138000,46556919000,-119378181000
2013-06-03,34587627000,-345761000,-33651000000
2013-06-04,18886332000,-15874299000,-2890848000
2013-06-05,-20774622000,50831139000,-22212646000
2013-06-07,-662283839000,59299118000,578104636000
2013-06-10,-229543699000,32022398000,199168060000
2013-06-11,-325611139000,79653212000,246943792000
2013-06-12,-253578381000,90181946000,158404034000
2013-06-13,-457590748000,95388234000,340440626000
2013-06-14,-113975527000,81690685000,22374137000
2013-06-17,2546935000,41238278000,-44437704000
2013-06-18,-67306377000,60917661000,7388530000
2013-06-19,-88069630000,42726498000,42273233000
2013-06-20,-177331430000,101990587000,67537910000
2013-06-21,-225532672000,219667980000,5843354000
2013-06-24,-51049260000,19387063000,27162383000
2013-06-25,-102338399000,69151782000,27433235000
2013-06-26,-137927317000,-14819210000,150622280000
2013-06-27,95637303000,-39173777000,-75234068000
2013-06-28,107535635000,-73549310000,-25256726000
2013-07-01,-6535222000,-18210192000,24773667000
2013-07-02,-11453598000,19044610000,-12624978000
2013-07-03,-56622841000,-10864918000,67081193000
2013-07-04,-27862733000,16676758000,9033109000
2013-07-05,-128290874000,-168370526000,296702382000
2013-07-08,-153237173000,57088404000,94499348000
2013-07-09,-68369159000,47760463000,13208582000
2013-07-10,24361353000,-6141234000,-19210448000
2013-07-11,58531864000,64516365000,-122732016000
2013-07-12,77546802000,-53718007000,-23122023000
2013-07-15,23496814000,-27029863000,4500188000
2013-07-16,-12339809000,-30214305000,43140010000
2013-07-17,10579856000,62022361000,-76704512000
2013-07-18,-108668672000,8967023000,97785129000
2013-07-19,-72769012000,-26680211000,100179361000
2013-07-22,6433114000,-21984320000,15190247000
2013-07-23,101662455000,-2455332000,-100072203000
2013-07-24,28908468000,-1342424000,-27371471000
2013-07-25,42463358000,-14980340000,-26826509000
2013-07-26,30378464000,-46653165071,17714722000
2013-07-29,-19679815000,-35261241000,55446818000
2013-07-30,-41574843000,51762394000,-9948256000
2013-07-31,-37387102000,9019690000,24359067000
2013-08-01,-18367514000,-10950234000,28869756000
2013-08-02,1674796000,-2943332000,1038250000
2013-08-05,5933399000,-34962597000,29545947000
2013-08-06,-80599390000,15102193000,66438439000
2013-08-07,-162258588000,6241505000,155672978000
2013-08-08,-156952893000,72785398000,83301735000
2013-08-09,-4375374000,4870022000,-979472000
2013-08-12,-43735712000,49786446000,-5273074000
2013-08-13,64137658000,68159570000,-133827814000
2013-08-14,126746931000,-42451486000,-81383399000
2013-08-16,32599891000,1501543000,-33689121000
2013-08-19,30736693000,-49109380000,18218640000
2013-08-20,74183425000,-51368981000,-17501315000
2013-08-21,-17382480000,-13334071000,31875744000
2013-08-22,13852774000,3251321000,-15554618000
2013-08-23,154161768000,-40889598000,-112557894000
2013-08-26,78864313000,-21633195000,-52102695000
2013-08-27,49045136000,6848467000,-56703621000
2013-08-28,76797794000,-13950137000,-60092290000
2013-08-29,157235508000,24846896000,-179340239000
2013-08-30,234730566000,-60707303000,-166795646000
2013-09-02,49187407000,-27928710000,-18923990000
2013-09-03,65098112000,-58538140000,-2207109000
2013-09-04,48494874000,-42651294000,-3144215000
2013-09-05,115079359000,-4864743000,-99351108000
2013-09-06,92795302000,-23809848000,-64941028000
2013-09-09,77780588000,-23718453000,-52855957000
2013-09-10,188134276000,-48945240000,-135737308000
2013-09-11,163914938000,-86697139000,-70975926000
2013-09-12,206347935000,-76310974000,-115502328000
2013-09-13,191731887000,-152060661000,-36543315000
2013-09-16,145745549000,-73033897000,-68951399000
2013-09-17,60621773000,-127146201000,68176967000
2013-09-23,-1844651000,-71759344000,73949287000
2013-09-24,62527100000,-54019061000,-11323497000
2013-09-25,22266713000,-32652174000,11008765000
2013-09-26,42364304000,-46731863000,4001669000
2013-09-27,74374799000,-70391837000,-2000423000
2013-09-30,54440955000,-11244609000,-44832341000
2013-10-01,96907341000,-17923605000,-79786170000
2013-10-02,134344983000,67677960000,-200912820000
2013-10-04,64830129000,2318605000,-63335984000
2013-10-07,48954164000,-10091624000,-31564166000
2013-10-08,43880572000,-25517156000,-24120462000
2013-10-10,47215100000,-55299704000,681059000
2013-10-11,35953687992,-5504147992,-27631187000
2013-10-14,82539104000,-69509125000,-12099203000
2013-10-15,130138268000,-31778807000,-90851137000
2013-10-16,76107895000,-44079228000,-26024181000
2013-10-17,107559300000,-56066903000,-50280900000
2013-10-18,73126280000,-27524217000,-48287646000
2013-10-21,36548756000,-32753438000,-4315376000
2013-10-22,18866102000,-10736723000,-8464866000
2013-10-23,79022887000,-72733514000,-5461994000
2013-10-24,49108711000,-56902503000,7457022000
2013-10-25,46466431000,-38251736000,-5918028000
2013-10-28,93779961000,-2214680000,-94947583000
2013-10-29,84470240000,-19348331000,-63594972000
2013-10-30,147512220000,-28778490000,-115798767000
2013-10-31,41738687000,-29880196000,-8895826000
2013-11-01,162994319000,-49506634000,-113683676000
2013-11-04,62175159000,-20095573000,-28311393000
