time,code,algo,test_year,seed,ret,bh_ret,excess_bh,sortino,mdd,trades,hold_ratio,hold_bull,hold_bear,avg_hold_days,n_spells,capture_up,capture_dn,day_up,day_dn,entry_lag,bull_days
09-18 03:42,005930,dqn,2018,1,-0.3043,-0.2403,-0.064,-2.056,-0.318,32,0.809,0.839,0.799,12.2,16,0.803,0.869,0.777,0.84,0.3,0.257
09-18 03:43,005930,dqn,2018,2,-0.4202,-0.2403,-0.1799,-3.261,-0.4323,34,0.867,0.887,0.86,13.1,16,0.777,0.885,0.848,0.882,0.5,0.257
09-18 03:43,005930,dqn,2018,3,-0.1816,-0.2403,0.0587,-1.348,-0.252,25,0.552,0.484,0.575,11.1,12,0.534,0.541,0.554,0.555,1.5,0.257
09-18 03:43,005930,dqn,2018,4,-0.0963,-0.2403,0.144,-0.511,-0.2264,25,0.622,0.661,0.609,11.5,13,0.651,0.63,0.661,0.605,0.4,0.257
09-18 03:43,005930,dqn,2018,5,-0.0916,-0.2403,0.1487,-0.518,-0.2367,29,0.631,0.661,0.62,10.9,14,0.67,0.61,0.634,0.622,0.6,0.257
09-18 03:44,005930,dqn,2018,6,-0.2126,-0.2403,0.0277,-1.328,-0.2379,33,0.809,0.855,0.793,12.2,16,0.827,0.796,0.83,0.79,0.2,0.257
09-18 03:44,005930,dqn,2018,7,-0.1892,-0.2403,0.0511,-1.251,-0.2898,27,0.672,0.629,0.687,11.6,14,0.624,0.666,0.652,0.689,1.1,0.257
09-18 03:44,005930,dqn,2018,8,-0.223,-0.2403,0.0173,-1.474,-0.2559,23,0.598,0.484,0.637,12.0,12,0.571,0.619,0.554,0.613,1.2,0.257
09-18 03:45,005930,dqn,2018,9,-0.1979,-0.2403,0.0424,-1.259,-0.284,30,0.697,0.629,0.721,11.2,15,0.714,0.69,0.688,0.689,1.0,0.257
09-18 03:45,005930,dqn,2018,10,-0.2218,-0.2403,0.0185,-1.375,-0.2564,28,0.602,0.645,0.587,10.4,14,0.665,0.606,0.607,0.588,1.2,0.257
09-18 03:45,005930,dqn,2018,11,-0.1131,-0.2403,0.1272,-0.588,-0.1475,32,0.784,0.774,0.788,11.8,16,0.791,0.785,0.821,0.756,0.4,0.257
09-18 03:45,005930,dqn,2018,12,-0.3495,-0.2403,-0.1092,-2.47,-0.357,28,0.776,0.742,0.788,13.4,14,0.729,0.81,0.75,0.798,0.9,0.257
