time,model,test_year,seed,episodes,ret,excess_bh,sharpe,sortino,mdd,trades
09-03 19:53,buy_hold,2021,0,0,-0.0564,0.0,-0.167,-0.295,-0.2431,
09-03 19:53,ma_cross,2021,0,0,-0.0238,0.0326,-0.411,-0.208,-0.0425,3.0
09-03 19:53,cash,2021,0,0,0.0,0.0564,0.0,0.0,0.0,0.0
09-03 19:53,fixed50,2021,0,0,-0.0232,0.0332,-0.166,-0.294,-0.1272,
09-03 19:53,dqn,2021,1,10,-0.0245,0.0319,-0.115,-0.163,-0.1574,55
09-03 19:53,dqn,2021,2,10,0.0306,0.087,0.309,0.529,-0.1695,72
09-03 19:53,dqn,2021,3,10,-0.0907,-0.0343,-0.511,-0.809,-0.2017,48
09-03 19:53,dqn,2021,4,10,-0.1865,-0.1301,-1.79,-1.981,-0.2518,66
09-03 19:54,dqn,2021,5,10,-0.1435,-0.0871,-0.99,-1.27,-0.2232,56
09-03 19:54,double,2021,1,10,-0.0604,-0.004,-0.34,-0.503,-0.1695,36
09-03 19:54,double,2021,2,10,-0.1575,-0.1011,-1.258,-1.456,-0.2329,55
09-03 19:54,double,2021,3,10,-0.0345,0.0219,-0.2,-0.254,-0.1766,47
09-03 19:54,double,2021,4,10,-0.0934,-0.037,-0.885,-1.132,-0.1497,64
09-03 19:55,double,2021,5,10,-0.0501,0.0063,-0.304,-0.476,-0.1953,46
09-03 19:55,buy_hold,2022,0,0,-0.296,0.0,-1.473,-2.885,-0.3328,
09-03 19:55,ma_cross,2022,0,0,-0.1413,0.1547,-1.327,-1.118,-0.1413,3.0
09-03 19:55,cash,2022,0,0,0.0,0.296,0.0,0.0,0.0,0.0
09-03 19:55,fixed50,2022,0,0,-0.1559,0.1401,-1.472,-2.884,-0.1803,
09-03 19:55,dqn,2022,1,10,-0.2344,0.0616,-2.007,-2.741,-0.2478,38
09-03 19:55,dqn,2022,2,10,-0.234,0.0619,-1.302,-2.436,-0.3036,22
09-03 19:55,dqn,2022,3,10,-0.2209,0.0751,-1.398,-2.114,-0.2874,62
09-03 19:55,dqn,2022,4,10,-0.2432,0.0527,-2.33,-2.933,-0.2532,60
