time,code,algo,test_year,seed,ret,bh_ret,excess_bh,sortino,mdd,trades,hold_ratio,hold_bull,hold_bear,avg_hold_days,n_spells,capture_up,capture_dn,day_up,day_dn,entry_lag,bull_days
09-18 04:17,005930,rand_hold10,2018,1,-0.2474,-0.2403,-0.0071,-1.572,-0.2732,34,0.838,0.871,0.827,11.9,17,0.862,0.855,0.839,0.832,0.4,0.257
09-18 04:17,005930,rand_hold10,2018,2,-0.4617,-0.2403,-0.2214,-3.817,-0.4668,32,0.755,0.774,0.749,12.1,15,0.612,0.843,0.688,0.84,0.9,0.257
09-18 04:17,005930,rand_hold10,2018,3,-0.1931,-0.2403,0.0472,-1.177,-0.2956,32,0.797,0.79,0.799,12.0,16,0.846,0.781,0.786,0.798,0.0,0.257
09-18 04:17,005930,rand_hold10,2018,4,-0.0846,-0.2403,0.1557,-0.395,-0.228,31,0.768,0.581,0.832,11.6,16,0.808,0.745,0.777,0.765,1.0,0.257
09-18 04:17,005930,rand_hold10,2018,5,-0.1273,-0.2403,0.113,-0.693,-0.2077,34,0.78,0.806,0.771,11.1,17,0.838,0.763,0.83,0.739,0.3,0.257
09-18 04:17,005930,rand_hold10,2018,6,-0.3637,-0.2403,-0.1234,-2.879,-0.3859,31,0.788,0.839,0.771,11.9,16,0.756,0.809,0.786,0.79,0.6,0.257
09-18 04:17,005930,rand_hold10,2018,7,-0.0639,-0.2403,0.1764,-0.28,-0.2734,30,0.705,0.677,0.715,11.3,15,0.748,0.695,0.723,0.672,0.8,0.257
09-18 04:17,005930,rand_hold10,2018,8,-0.1465,-0.2403,0.0938,-0.805,-0.2368,35,0.78,0.726,0.799,10.4,18,0.785,0.735,0.777,0.773,0.8,0.257
09-18 04:17,005930,rand_hold10,2018,9,-0.217,-0.2403,0.0233,-1.429,-0.3285,34,0.809,0.79,0.816,11.5,17,0.845,0.804,0.786,0.824,0.1,0.257
09-18 04:17,005930,rand_hold10,2018,10,-0.249,-0.2403,-0.0087,-1.609,-0.3192,33,0.809,0.806,0.81,11.5,17,0.774,0.853,0.759,0.849,0.3,0.257
09-18 04:17,005930,rand_hold10,2018,11,-0.1643,-0.2403,0.076,-0.948,-0.2707,36,0.822,0.871,0.804,11.0,18,0.784,0.793,0.83,0.807,0.0,0.257
09-18 04:17,005930,rand_hold10,2018,12,-0.3503,-0.2403,-0.11,-2.515,-0.3639,31,0.851,0.903,0.832,12.8,16,0.86,0.895,0.848,0.857,0.2,0.257
09-18 04:17,005930,rand_hold10,2018,13,-0.0226,-0.2403,0.2177,0.028,-0.1148,29,0.743,0.661,0.771,11.9,15,0.861,0.663,0.786,0.697,0.6,0.257
09-18 04:17,005930,rand_hold10,2018,14,-0.3286,-0.2403,-0.0883,-2.352,-0.3502,33,0.842,0.919,0.816,12.7,16,0.754,0.849,0.804,0.882,0.3,0.257
09-18 04:17,005930,rand_hold10,2018,15,-0.2568,-0.2403,-0.0165,-1.657,-0.2704,29,0.759,0.677,0.788,12.2,15,0.732,0.773,0.723,0.782,1.4,0.257
09-18 04:17,005930,rand_hold10,2018,16,-0.1988,-0.2403,0.0415,-1.19,-0.252,31,0.788,0.839,0.771,11.9,16,0.846,0.788,0.786,0.782,0.5,0.257
09-18 04:17,005930,rand_hold10,2018,17,-0.2527,-0.2403,-0.0124,-1.609,-0.2759,36,0.817,0.887,0.793,10.9,18,0.794,0.855,0.804,0.832,0.2,0.257
09-18 04:17,005930,rand_hold10,2018,18,-0.2487,-0.2403,-0.0084,-1.631,-0.2721,29,0.73,0.79,0.709,11.7,15,0.757,0.766,0.705,0.765,0.7,0.257
09-18 04:17,005930,rand_hold10,2018,19,-0.2738,-0.2403,-0.0335,-1.818,-0.287,32,0.751,0.694,0.771,11.3,16,0.777,0.728,0.768,0.739,0.6,0.257
09-18 04:17,005930,rand_hold10,2018,20,-0.2626,-0.2403,-0.0223,-1.898,-0.3182,32,0.776,0.742,0.788,11.7,16,0.739,0.8,0.705,0.824,0.7,0.257
09-18 04:17,005930,rand_hold10,2019,1,0.2142,0.44,-0.2258,1.639,-0.1861,33,0.841,0.863,0.813,12.2,17,0.801,0.842,0.854,0.829,0.0,0.565
09-18 04:17,005930,rand_hold10,2019,2,0.5533,0.44,0.1133,3.685,-0.1371,31,0.756,0.741,0.776,11.6,16,0.816,0.719,0.785,0.724,0.1,0.565
